Time (ms),dTime (ms),Timestamp (ms),Timecode (ms),X resolution,Y resolution,frame type,frame-rate,aspect-ratio,codec
18:26:59.180,20.4,16512568166970470,16512568166970470,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.201,20.3,16512568167170459,16512568167170459,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.219,18.4,16512568167370469,16512568167370469,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.240,21.0,16512568167570445,16512568167570445,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.259,19.5,16512568167770474,16512568167770474,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.281,21.1,16512568167970440,16512568167970440,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.299,19.0,16512568168170467,16512568168170467,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.319,19.8,16512568168370436,16512568168370436,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.340,20.6,16512568168570432,16512568168570432,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.360,20.3,16512568168770411,16512568168770411,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.380,19.7,16512568168970450,16512568168970450,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.400,20.2,16512568169170435,16512568169170435,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.419,19.0,16512568169370418,16512568169370418,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.440,21.5,16512568169570391,16512568169570391,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.460,19.3,16512568169770413,16512568169770413,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.480,20.3,16512568169970399,16512568169970399,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.500,19.6,16512568170170388,16512568170170388,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
18:26:59.520,20.0,16512568170370377,16512568170370377,1920,1080,progressive,50.00,1.78,SpeedHQ Mode 2
